Процент_завершения;Базовая_длительность;Базовое_начало;Базовое_окончание;Начало;Окончание;Длительность;Причины_отклонений;Заметки;Уровень_структуры;БЛОК;Ид;Уникальный_идентификатор;Предшественники;Последователи;Дата_ограничения;Название;ЛОТ;ID_проекта;Уровень;Шифр_ПД_и_РД;Отклонение_начала;Отклонение_окончания
0%;242 д;01.02.26;30.09.26;06.08.26;13.11.26;100 д;;;5;СМР;955;1305;885НН+15 д;976;НД;Спринклерная система пожаротушения АУПТ (включая пожарный водопровод);;;5;;186 д;44 д
0%;153 д;01.06.26;31.10.26;01.10.24;19.01.27;841 д;;;3;СМР;956;1306;;;НД;ОТДЕЛОЧНЫЕ РАБОТЫ;ЛОТ №20;;4;;-608 д;80 д
0%;153 д;01.06.26;31.10.26;01.11.26;19.01.27;80 д;;;4;СМР;957;1307;940ОН+1 д;;НД;"Отделочные работы (потолок - окраска, сан.узел - грильято; стены - штукатурка под бетон, сан.узел - керамогранит/окраска; полы - ламинат; перегородки - ГКЛВ/ГКЛВО). Двери, окна, лестница -НЕ ВХОДЯТ В СТОИМОСТЬ.";;;5;;153 д;80 д
0%;153 д;01.06.26;31.10.26;01.11.26;19.01.27;80 д;;;4;СМР;958;1308;940ОН+1 д;;НД;"Отделочные работы АБК 9,3*6м-2эт. (потолок - окраска, сан.узел - грильято; стены - штукатурка под бетон, сан.узел - керамогранит/окраска; полы - ламинат/керамогранит; перегородки - ГКЛВ/ГКЛВО). Двери, окна, лестница -НЕ ВХОДЯТ В СТОИМОСТЬ.";;;5;;153 д;80 д
0%;153 д;01.06.26;31.10.26;01.11.26;19.01.27;80 д;;;4;СМР;959;1309;940ОН+1 д;;НД;"Отделочные работы пристройки под офис/ТЦ (потолок - окраска, сан.узел - грильято; стены - штукатурка под бетон, сан.узел - керамогранит/окраска; полы - ламинат/керамогранит; перегородки - ГКЛВ/ГКЛВО). Двери, окна, лестница -НЕ ВХОДЯТ В СТОИМОСТЬ.";;;5;;153 д;80 д
0%;153 д;01.06.26;31.10.26;01.10.24;02.03.25;153 д;;;4;СМР;960;1310;;;НД;Внутренние двери деревянные размером 970*2080мм;;;5;;-608 д;-608 д
0%;153 д;01.07.26;30.11.26;09.11.26;28.12.26;50 д;;;3;СМР;961;1311;;;НД;РЕКЛАМА;;;4;;131 д;28 д
0%;153 д;01.07.26;30.11.26;09.11.26;28.12.26;50 д;;;4;СМР;962;1312;898ОН+40 д;;НД;Номерация h=1,8 м (1 цифра);;;5;;131 д;28 д
0%;153 д;01.07.26;30.11.26;09.11.26;28.12.26;50 д;;;4;СМР;963;1313;898ОН+40 д;;НД;Номерация h=1,8 м (1 световая цифра);;;5;;131 д;28 д
0%;153 д;01.07.26;30.11.26;09.11.26;28.12.26;50 д;;;4;СМР;964;1314;898ОН+40 д;;НД;Буквенное обозначение h=1м (например, BLOCK А);;;5;;131 д;28 д
0%;153 д;01.07.26;30.11.26;09.11.26;28.12.26;50 д;;;4;СМР;965;1315;898ОН+40 д;;НД;Буквенное обозначение h=1м (например, BLOCK А - световая);;;5;;131 д;28 д
0%;153 д;01.07.26;30.11.26;09.11.26;28.12.26;50 д;;;4;СМР;966;1316;898ОН+40 д;;НД;Логотип на стене (световые буквы h=1 м) INDASTRIAL CITY;;;5;;131 д;28 д
0%;153 д;01.07.26;30.11.26;09.11.26;28.12.26;50 д;;;4;СМР;967;1317;898ОН+40 д;;НД;Логотип на стене (световые буквы h=3 м) INDASTRIAL CITY;;;5;;131 д;28 д
0%;153 д;01.07.26;30.11.26;09.11.26;28.12.26;50 д;;;4;СМР;968;1318;898ОН+40 д;;НД;Логотип на кровле 21х21 м из ПВХ мембраны INDASTRIAL CITY;;;5;;131 д;28 д
0%;153 д;01.07.26;30.11.26;09.11.26;28.12.26;50 д;;;4;СМР;969;1319;898ОН+40 д;;НД;Художественная покраска стен;;;5;;131 д;28 д
0%;153 д;01.08.26;31.12.26;09.11.26;08.12.26;30 д;;;3;СМР;970;1320;;;НД;КЛИНИНГ;ЛОТ №30;;4;;100 д;-23 д
0%;153 д;01.08.26;31.12.26;09.11.26;08.12.26;30 д;;;4;СМР;971;1321;976ОО;;НД;Клининг;;;5;;100 д;-23 д
0%;243 д;01.01.26;31.08.26;03.05.26;08.12.26;220 д;;;3;СМР;972;1323;;;НД;Непредвиденные 10%;;;4;;122 д;99 д
0%;243 д;01.01.26;31.08.26;03.05.26;08.12.26;220 д;;;4;СМР;973;1324;976ОО;;НД;Непредвиденные 10%;;;5;;122 д;99 д
0%;30 д;01.10.24;30.10.24;01.10.24;30.10.24;30 д;;;3;СМР;974;1325;;;НД;ГУ 5% от стоимости работ;;;4;;0 д;0 д
0%;30 д;01.10.24;30.10.24;01.10.24;30.10.24;30 д;;;4;СМР;975;1326;;;НД;ГУ 5% от стоимости работ;;;5;;0 д;0 д
0%;1 д;01.08.26;01.08.26;08.12.26;08.12.26;0 д;;;2;СМР;976;1327;"912;913;893;892;891;890;889;945;946;947;948;950;951;952;955";"1146;973ОО;971ОО";НД;Завершение СМР по ЗАВОД до ЗОС;;;5;;130 д;129 д
0%;760 д;01.10.24;30.10.26;18.06.26;22.10.26;127 д;;Привязать;2;СМР;977;1328;;;НД;Блок КПП;;;3;;625 д;-8 д
0%;760 д;01.10.24;30.10.26;18.06.26;01.10.26;106 д;;;3;СМР;978;1329;;;НД;КОРОБКА, КРОВЛЯ, СТЕНЫ;ЛОТ №8;;4;;625 д;-29 д
0%;62 д;01.07.26;31.08.26;18.06.26;27.07.26;40 д;;;4;СМР;979;1331;;;НД;Фундаменты монолитные;8.2;;4;;-13 д;-35 д
0%;62 д;01.07.26;31.08.26;18.06.26;27.07.26;40 д;;;5;СМР;980;1332;319ОН+1 д;"1036ОН-33 д;982ОН+1 д";НД;Устройство монолитной железобетонной плиты под КПП и технические помещения (в тч земляные работы, основание песок, щебень, гидроизоляция);;;5;;-13 д;-35 д
0%;62 д;01.07.26;31.08.26;29.07.26;22.08.26;25 д;;;4;СМР;981;1337;;;НД;Металлические конструкции;8.5;;4;;28 д;-9 д
0%;62 д;01.07.26;31.08.26;29.07.26;22.08.26;25 д;;;5;СМР;982;1338;980ОН+1 д;"1036ОН-33 д;984;986ОН+1 д;1004";НД;Монтаж балок перекрытий, колонн, опор под оборудование;;;5;;28 д;-9 д
0%;62 д;01.07.26;31.08.26;23.08.26;27.08.26;5 д;;;4;СМР;983;1348;;;НД;Профилированный лист;8.6;;4;;53 д;-4 д
0%;62 д;01.07.26;31.08.26;23.08.26;27.08.26;5 д;;;5;СМР;984;1349;982;"1036ОН-33 д;988";НД;Монтаж перекрытий из профилированного листа Н114-750-0.7, в т.ч. метизы;;;5;;53 д;-4 д
0%;62 д;01.07.26;31.08.26;24.08.26;12.09.26;20 д;;;4;СМР;985;1351;;;НД;Ограждающие конструкции;8.7;;4;;54 д;12 д
0%;62 д;01.07.26;31.08.26;24.08.26;12.09.26;20 д;;;5;СМР;986;1352;982ОН+1 д;"1036ОН-33 д;995;998;999;1001;1003;1006;1022;1023;1024;1025;1026;1027;1028;1029";НД;Монтаж сэндвич-панелей толщиной 120мм;;;5;;54 д;12 д
0%;62 д;01.07.26;31.08.26;28.08.26;01.10.26;35 д;;;4;СМР;987;1359;;;НД;Кровля;8.8;;4;;58 д;31 д
0%;62 д;01.07.26;31.08.26;28.08.26;01.09.26;5 д;;;5;СМР;988;1360;984;"1036ОН-33 д;989";НД;Устройство пароизоляции;;;5;;58 д;1 д
0%;62 д;01.07.26;31.08.26;02.09.26;06.09.26;5 д;;;5;СМР;989;1361;988;"1036ОН-33 д;990";НД;Утепление покрытий PIR 60 мм;;;5;;63 д;6 д
0%;62 д;01.07.26;31.08.26;07.09.26;11.09.26;5 д;;;5;СМР;990;1362;989;"1036ОН-33 д;991";НД;Утепление покрытий плитами из минеральной ваты 50 мм;;;5;;68 д;11 д
